code,product_name_en,brands,serving_size,categories_tags,labels,allergens_tags,traces,energy-kcal_value,fat_value_per_100g,saturated_fat_value_per_100g,carbohydrates_value_per_g,sugars_value,proteins_value_per_100g,energy_value,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts,label,salt_value_in_grams,sodium_value_in_grams,apple,banana,beef,eggs,fish,gelatin,gluten,milk,no_traces,nuts,orange,peach,peanuts,sesame-seeds,soybeans,sulphur-dioxide-and-sulphites
0011110038524,"Coconut greek nonfat yogurt, coconut",Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,93.0,1.67,1.33,11.33,10.0,8.67,93.0,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.11,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7203672758,"Plain whole milk yogurt, plain",Not Known Brand,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,82.0,3.53,2.06,8.82,6.47,4.71,82.0,"milk-and-dairy-products,milk-and-yogurt",b,2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.17,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0840024300171,Strawberry banana whole milk yogurt with brainpack,Not Known Brand,57.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,88.0,3.51,1.75,12.28,8.77,3.51,88.0,"milk-and-dairy-products,milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.11,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0860477001081,"Mango grass fed quark the nutrient-rich superdairy, mango",Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,100.0,4.0,2.67,6.67,6.67,10.0,100.0,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0860477001098,"Strawberry creamery grass fed quark, strawberry",Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,100.0,4.0,2.67,8.0,8.0,10.0,100.0,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07203672479,"Plain nonfat yogurt, plain",Not Known Brand,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,53.0,0.0,0.0,9.41,6.47,4.71,53.0,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.16,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07203672521,"Mixed berry greek nonfat yogurt, mixed berry",Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,80.0,0.0,0.0,12.0,10.67,8.67,80.0,"milk-and-dairy-products,milk-and-yogurt",a,-3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.09,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
07789045179,"Pumpkin pie blended lowfat yogurt, pumpkin pie",Not Known Brand,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,76.0,1.18,0.59,12.94,10.59,3.53,76.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.11,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0041415547643,"Premium blended peach authentic greek lowfat yogurt, blended peach",Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,100.0,1.67,1.0,14.67,12.0,6.67,100.0,"milk-and-dairy-products,milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0041415555648,"Premium blueberry blended greek nonfat yogurt, blueberry",Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,67.0,0.0,0.0,9.33,6.67,7.33,67.0,"milk-and-dairy-products,milk-and-yogurt",a,-3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.09,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
